"KTP","KSL","TREND","RSI","count","avg_pf","avg_ret"
"1.6","2.0","100","60/40","1","0.00","0.00"
"1.4","2.0","100","60/40","1","0.00","0.00"
"2.0","2.0","0","60/40","1","0.00","0.00"
"1.2","2.0","0","60/40","1","0.00","0.00"
"0.8","1.4","0","55/45","1","1.91","-0.32"
"0.8","1.4","100","55/45","1","1.91","-0.32"
"1.8","2.0","0","60/40","1","0.00","0.00"
"1.4","2.0","0","60/40","1","0.00","0.00"
"1.6","2.0","0","60/40","1","0.00","0.00"
"2.4","2.0","0","60/40","1","0.00","0.00"
"2.2","2.0","100","60/40","1","0.00","0.00"
"1.8","2.0","100","60/40","1","0.00","0.00"
"1.2","2.0","100","60/40","1","0.00","0.00"
"2.0","2.0","100","60/40","1","0.00","0.00"
"2.4","2.0","100","60/40","1","0.00","0.00"
"2.2","2.0","0","60/40","1","0.00","0.00"
"1.0","2.0","100","60/40","1","3.40","0.10"
"1.0","1.8","0","60/40","1","3.40","0.10"
"1.0","1.8","100","60/40","1","3.40","0.10"
"1.0","2.0","0","60/40","1","3.40","0.10"
"0.8","1.8","0","60/40","1","4.36","0.15"
"0.8","1.8","100","60/40","1","4.36","0.15"
"0.8","2.0","0","60/40","1","4.36","0.15"
"0.8","2.0","100","60/40","1","4.36","0.15"
"0.8","1.8","0","55/45","1","1.91","0.08"
"0.8","1.8","100","55/45","1","1.91","0.08"
"0.8","2.0","0","55/45","1","1.91","0.07"
"0.8","2.0","100","55/45","1","1.91","0.07"
"1.0","1.4","100","60/40","1","3.40","-0.15"
"1.0","1.4","0","60/40","1","3.40","-0.15"
"0.8","1.4","100","60/40","1","2.86","-0.12"
"0.8","1.4","0","60/40","1","2.86","-0.12"
