rank,PF(avg),return%(avg),maxDD%(avg),trades(total),KTP,KSL,TREND,RSI_UP,RSI_DN
1,0.00,-0.22,0.22,32,1.4,1.2,50,55,45
2,0.00,-0.22,0.22,32,1.6,1.2,50,55,45
3,0.00,-0.22,0.22,32,1.8,1.2,50,55,45
4,0.00,-0.30,0.30,36,1.4,1.2,50,52,48
5,0.00,-0.30,0.30,36,1.6,1.2,50,52,48
6,0.00,-0.30,0.30,36,1.8,1.2,50,52,48
7,0.00,-0.43,0.43,50,1.4,1.2,0,52,48
8,0.00,-0.43,0.43,50,1.4,1.2,100,52,48
9,0.00,-0.43,0.43,50,1.6,1.2,0,52,48
10,0.00,-0.43,0.43,50,1.6,1.2,100,52,48
11,0.00,-0.43,0.43,50,1.8,1.2,0,52,48
12,0.00,-0.43,0.43,50,1.8,1.2,100,52,48
13,0.00,-0.47,0.47,45,1.4,1.2,0,55,45
14,0.00,-0.47,0.47,45,1.4,1.2,100,55,45
15,0.00,-0.47,0.47,45,1.6,1.2,0,55,45
16,0.00,-0.47,0.47,45,1.6,1.2,100,55,45
17,0.00,-0.47,0.47,45,1.8,1.2,0,55,45
18,0.00,-0.47,0.47,45,1.8,1.2,100,55,45
19,0.00,-0.53,0.53,29,1.4,1.2,50,60,40
20,0.00,-0.53,0.53,29,1.6,1.2,50,60,40
21,0.00,-0.53,0.53,29,1.8,1.2,50,60,40
22,0.00,-0.55,0.55,32,1.4,1.0,50,55,45
23,0.00,-0.55,0.55,32,1.6,1.0,50,55,45
24,0.00,-0.55,0.55,32,1.8,1.0,50,55,45
25,0.00,-0.60,0.60,38,1.4,1.2,0,60,40
26,0.00,-0.60,0.60,38,1.4,1.2,100,60,40
27,0.00,-0.60,0.60,38,1.6,1.2,0,60,40
28,0.00,-0.60,0.60,38,1.6,1.2,100,60,40
29,0.00,-0.60,0.60,38,1.8,1.2,0,60,40
30,0.00,-0.60,0.60,38,1.8,1.2,100,60,40
31,0.00,-0.75,0.75,29,1.4,1.0,50,60,40
32,0.00,-0.75,0.75,29,1.6,1.0,50,60,40
33,0.00,-0.75,0.75,29,1.8,1.0,50,60,40
34,0.00,-0.88,0.88,36,1.4,1.0,50,52,48
35,0.00,-0.88,0.88,36,1.6,1.0,50,52,48
36,0.00,-0.88,0.88,36,1.8,1.0,50,52,48
37,0.00,-0.95,0.95,45,1.4,1.0,0,55,45
38,0.00,-0.95,0.95,45,1.4,1.0,100,55,45
39,0.00,-0.95,0.95,45,1.6,1.0,0,55,45
40,0.00,-0.95,0.95,45,1.6,1.0,100,55,45
41,0.00,-0.95,0.95,45,1.8,1.0,0,55,45
42,0.00,-0.95,0.95,45,1.8,1.0,100,55,45
43,0.00,-0.97,0.97,29,1.4,0.8,50,60,40
44,0.00,-0.97,0.97,29,1.6,0.8,50,60,40
45,0.00,-0.97,0.97,29,1.8,0.8,50,60,40
46,0.00,-1.07,1.07,38,1.4,1.0,0,60,40
47,0.00,-1.07,1.07,38,1.4,1.0,100,60,40
48,0.00,-1.07,1.07,38,1.6,1.0,0,60,40
49,0.00,-1.07,1.07,38,1.6,1.0,100,60,40
50,0.00,-1.07,1.07,38,1.8,1.0,0,60,40
51,0.00,-1.07,1.07,38,1.8,1.0,100,60,40
52,0.00,-1.07,1.07,32,1.4,0.8,50,55,45
53,0.00,-1.07,1.07,32,1.6,0.8,50,55,45
54,0.00,-1.07,1.07,32,1.8,0.8,50,55,45
55,0.00,-1.18,1.18,50,1.4,1.0,0,52,48
56,0.00,-1.18,1.18,50,1.4,1.0,100,52,48
57,0.00,-1.18,1.18,50,1.6,1.0,0,52,48
58,0.00,-1.18,1.18,50,1.6,1.0,100,52,48
59,0.00,-1.18,1.18,50,1.8,1.0,0,52,48
60,0.00,-1.18,1.18,50,1.8,1.0,100,52,48
61,0.00,-1.30,1.30,38,1.4,0.8,0,60,40
62,0.00,-1.30,1.30,38,1.4,0.8,100,60,40
63,0.00,-1.30,1.30,38,1.6,0.8,0,60,40
64,0.00,-1.30,1.30,38,1.6,0.8,100,60,40
65,0.00,-1.30,1.30,38,1.8,0.8,0,60,40
66,0.00,-1.30,1.30,38,1.8,0.8,100,60,40
67,0.00,-1.40,1.40,36,1.4,0.8,50,52,48
68,0.00,-1.40,1.40,36,1.6,0.8,50,52,48
69,0.00,-1.40,1.40,36,1.8,0.8,50,52,48
70,0.00,-1.60,1.60,45,1.4,0.8,0,55,45
71,0.00,-1.60,1.60,45,1.4,0.8,100,55,45
72,0.00,-1.60,1.60,45,1.6,0.8,0,55,45
73,0.00,-1.60,1.60,45,1.6,0.8,100,55,45
74,0.00,-1.60,1.60,45,1.8,0.8,0,55,45
75,0.00,-1.60,1.60,45,1.8,0.8,100,55,45
76,0.00,-1.80,1.80,50,1.4,0.8,0,52,48
77,0.00,-1.80,1.80,50,1.4,0.8,100,52,48
78,0.00,-1.80,1.80,50,1.6,0.8,0,52,48
79,0.00,-1.80,1.80,50,1.6,0.8,100,52,48
80,0.00,-1.80,1.80,50,1.8,0.8,0,52,48
81,0.00,-1.80,1.80,50,1.8,0.8,100,52,48
